open_asset1,close_asset1,open_asset2,close_asset2,return_asset1,return_asset2
24729.45,24677.8,53634.2,53509.5,-0.12384452251057443,-0.17545479730354252
24633.9,24619.0,53380.75,53407.75,-0.23827083451523068,-0.1901531503751719
24652.65,24610.05,53450.05,53577.7,-0.03635403550104055,0.31821224447761143
24620.5,24641.8,53459.3,53391.35,0.12901233439184256,-0.34781261606974256
24604.45,24548.7,53201.0,53216.45,-0.3778133090926783,-0.32758115312686575
24498.35,24768.3,53109.8,53583.8,0.8945483874909899,0.6902940726035034
24753.4,24668.25,53502.5,53581.35,-0.4039437506813126,-0.004572277442072004
24584.8,24336.0,53394.1,52834.8,-1.3468730047733413,-1.3933019604769115
24297.95,24198.85,52696.95,52139.55,-0.5635683760683796,-1.3158940698176247
23877.15,23951.7,51428.45,51575.7,-1.021329525989867,-1.0814247533782018
