Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04-APR-2025,51711.6,51893.6,51360.4,51502.7,189607641,8445.89
07-APR-2025,49336.1,50426.25,49156.95,49860.1,236789593,11587.08
08-APR-2025,50388.55,50793.7,50030.8,50511,162259279,9082.76
09-APR-2025,50487.1,50496.9,49910.85,50240.15,141787861,7324.09
11-APR-2025,50634.1,51244.7,50634.1,51002.35,139974934,8735.46
15-APR-2025,52299,52486.35,51863.3,52379.5,203761353,11819.68
16-APR-2025,52690.9,53164.45,52471.35,53117.75,200504101,10526.17
17-APR-2025,53153.75,54407.2,53084.9,54290.2,294946433,13719.04
21-APR-2025,54891.25,55461.65,54674.95,55304.5,267372839,13622.84
22-APR-2025,55414.3,55961.2,55243.55,55647.2,276879053,15645.82
23-APR-2025,56097.1,56098.7,55162.5,55370.05,245520423,11723.19
24-APR-2025,55103.9,55550.45,55088.4,55201.4,233218409,12002.95
25-APR-2025,55233.55,55350.55,54176.45,54664.05,210766304,9679.83
28-APR-2025,54610.3,55577.4,54582.35,55432.8,178630188,7103.46
29-APR-2025,55524.35,55957.75,55262.4,55391.25,193903416,8373.38
30-APR-2025,55382.4,55478.25,54723.7,55087.15,193527310,11916.11
02-MAY-2025,55100.95,55691.95,54994.4,55115.35,154187346,8648.95
05-MAY-2025,55065.8,55345.5,54786.5,54919.5,139409242,8876.74
06-MAY-2025,54918.25,55036.95,54172.95,54271.4,198690472,8440.53
07-MAY-2025,54013.4,54684.3,53919.9,54610.9,268883957,9325.72
08-MAY-2025,54801.75,54937.25,54108,54365.65,302197374,12890.73
09-MAY-2025,53595.95,54054.8,53483.05,53595.25,179290315,8109.92
12-MAY-2025,54658.75,55466.3,54558.05,55382.85,199594158,8894.5
13-MAY-2025,55233.5,55499.65,54888.5,54940.85,190035885,9256.83
14-MAY-2025,55008.55,55208.6,54491,54801.3,145169571,6288.89
15-MAY-2025,54853.7,55490.55,54442.3,55355.6,138421253,10195.93
16-MAY-2025,55276,55418.9,55170.25,55354.9,136045212,7512.92
19-MAY-2025,55326.05,55695.55,55296.55,55420.7,138063909,5421.58
20-MAY-2025,55445.3,55568.35,54829.45,54877.35,143426306,7986.79
21-MAY-2025,55060.2,55336.85,54690.8,55075.1,119459912,5560.63
22-MAY-2025,54875.9,54996.1,54576.6,54941.3,148227670,9220
23-MAY-2025,54959.3,55441.3,54854.5,55398.25,88891444,4424.62
26-MAY-2025,55534.9,55875.75,55307.5,55572,90838669,4382.84
27-MAY-2025,55458.95,55831.35,55037.85,55352.8,145380504,9236.52
28-MAY-2025,55328.6,55521.8,55235.55,55417,128321511,5986.31
29-MAY-2025,55571.4,55782.75,55096.45,55546.05,185730254,10394.38
30-MAY-2025,55615.55,55813.3,55356.6,55749.7,281056831,12623.12
02-JUN-2025,55598.25,55966.3,55400.55,55903.4,211302101,8722.91
03-JUN-2025,56104.8,56161.4,55455.8,55599.95,212808078,9937.61
04-JUN-2025,55650.35,55791,55408.35,55676.85,151488202,6067.58
05-JUN-2025,55806.75,56010.15,55580.45,55760.85,141281084,8518.57
06-JUN-2025,55699.45,56695,55534.75,56578.4,347023400,13035.84
09-JUN-2025,57049.5,57049.5,56792.7,56839.6,207484622,9138.51
10-JUN-2025,56993.9,57015.4,56564.15,56629.1,145969879,8256.92
